N-PSA,VNS1,VNS10,VNS30,B&BA,BN-PSA,BVNS30
897,897,897,897,1028,897,897
910,910,910,910,932,915,910
760,760,760,760,828,778,760
1006,1006,1006,1006,1102,1039,1006
605,605,605,605,606,605,605
850,850,850,850,926,850,850
792,792,792,792,798,792,792
998,998,998,998,998,998,998
1069,1069,1069,1069,1117,1069,1069
1090,1075,1075,1075,1260,1075,1075
5821,5721,5695,5692,6339,5798,5695
5192,5135,5135,5135,5409,5273,5135
4465,4464,4464,4464,5110,4465,4464
5923,5923,5923,5923,6295,5934,5923
5721,5721,5721,5721,5725,5726,5721
6080,6034,6034,6034,6097,6170,6036
5594,5589,5589,5589,6047,5685,5589
5309,5283,5283,5283,5407,5319,5283
5670,5624,5624,5624,6042,5668,5624
5036,5036,5036,5036,5829,5036,5036
14837,14840,14837,14837,14938,14917,14837
15164,15160,15164,15160,15469,15170,15160
14796,14449,14449,14449,14670,14579,14449
12679,12539,12539,12539,12639,12589,12539
14805,14805,14805,14805,14815,14805,14805
13932,13843,13797,13797,14205,13797,13797
14827,14827,14827,14827,14935,14827,14827
14842,14767,14767,14767,14835,14807,14767
12690,12636,12633,12633,12823,12752,12635
14974,14923,14899,14899,15202,14922,14899
937,937,937,937,1003,937,937
1309,1309,1309,1309,1555,1309,1309
854,810,810,810,958,810,810
781,781,781,781,791,781,781
805,805,805,805,914,805,805
938,938,938,938,938,938,938
770,770,770,770,950,770,770
1154,1153,1153,1153,1153,1154,1153
950,933,933,933,974,933,933
982,982,982,982,1285,982,982
6565,6445,6445,6445,6642,6499,6445
5635,5635,5635,5635,5681,5637,5635
5896,5845,5845,5845,5959,5920,5845
5096,5096,5096,5096,5656,5146,5096
5344,5339,5339,5339,5490,5339,5339
5921,5895,5895,5895,6039,5916,5895
6887,6833,6833,6833,7031,6924,6833
5836,5755,5752,5752,6147,5758,5752
5408,5365,5365,5365,5994,5365,5365
5031,5030,5030,5030,5106,5031,5030
15125,15094,15094,15094,15137,15174,15094
16575,16369,16362,16341,16885,16495,16358
15301,15301,15274,15274,15317,15298,15274
15784,15575,15570,15556,15890,15931,15556
16301,16128,16120,16120,16849,16250,16120
15787,15768,15768,15768,15897,15922,15768
15479,15465,15456,15456,15564,15494,15456
16487,16487,16451,16451,17409,16552,16451
14972,14697,14697,14697,14701,14697,14697
15881,15861,15861,15861,16220,15922,15861
872,872,872,872,977,872,872
950,904,904,904,940,904,904
896,896,896,896,1020,896,896
781,781,781,781,909,781,781
760,760,760,760,929,760,760
1119,1119,1119,1119,1237,1119,1119
795,795,795,795,820,803,795
1109,1109,1109,1109,1150,1109,1109
1331,1331,1331,1331,1343,1331,1331
951,951,951,951,1098,951,951
5787,5787,5787,5787,6091,5787,5787
5854,5814,5709,5709,6089,5796,5709
6407,6434,6407,6407,6544,6407,6407
5939,5920,5920,5920,6052,5939,5920
6023,5994,5994,5994,6922,6345,5994
6545,6557,6529,6529,6744,6573,6529
5755,5631,5631,5631,6283,5733,5631
5415,5387,5383,5383,6334,5403,5383
6690,6639,6639,6639,6728,6690,6639
5666,5666,5666,5666,5901,5666,5666
13818,13755,13755,13755,13935,13849,13755
16703,16441,16441,16441,16725,16575,16441
16482,16441,16441,16441,16540,16441,16441
